Province/ division/ district,Geographical area,Reported area (4+9),Total Cultivated area (5+6),Current fallows Cultivated area,Net area sown Cultivated area,Total Cropped area (6+8),"Area sown more than
once Cropped area",Total Uncultivated area (10+11+12),Culturable waste Uncultivated area,Forest Uncultivated area,"Not availa- ble for cultiv
ation"
D.G.Khan,"11,922",936,429,149,280,364,84,507,113,21,373
Layyah,"6,289",628,474,105,369,514,145,154,98,11,45
Muzaffargarh,"8,249",831,439,58,381,688,307,392,229,35,128
Rajanpur,"12,318",763,393,99,294,374,80,370,218,7,145
Faisalabad Div.,"17,918","1,791","1,475",73,"1,402","2,091",689,316,121,12,183
Faisalabad,"5,857",584,515,1,514,709,195,69,3,1,65
Chiniot,"2,643",264,216,28,188,293,105,48,15,1,32
Jhang,"6,166",616,481,37,444,684,240,135,75,5,55
T.T.Singh,"3,252",327,263,7,256,405,149,64,28,5,31
Gujranwala Div.,"17,207","1,727","1,409",101,"1,308","2,420","1,112",318,66,30,222
Gujranwala,"3,622",369,290,14,276,556,280,79,21,3,55
Gujrat,"3,192",321,253,22,231,321,90,68,10,12,46
Hafizabad,"2,367",235,197,33,164,354,190,38,18,-,20
Mandi Baha-ud-Din,"2,673",268,222,29,193,364,171,46,12,5,29
Narowal,"2,337",232,195,1,194,364,170,37,1,4,32
Sialkot,"3,016",302,252,2,250,461,211,50,4,6,40
Lahore Div.,"11,727","1,326","1,024",104,920,"1,532",612,302,107,11,184
Kasur,"3,995",469,361,12,349,539,190,108,26,6,76
Lahore,"1,772",178,114,33,81,184,103,64,5,1,58
Nankana Sahib,"2,216",236,191,20,171,316,145,45,25,-,20
Sheikhupura,"3,744",443,358,39,319,493,174,85,51,4,30
Multan Division,"15,211","1,524","1,312",74,"1,238","2,154",916,212,74,5,133
Khanewal,"4,349",428,367,7,360,576,216,61,26,4,31
Lodhran,"2,778",303,266,10,256,459,203,37,2,1,34
Multan,"3,720",356,286,47,239,474,235,70,42,-,28
Vehari,"4,364",437,393,10,383,645,262,44,4,-,40
Rawalpindi Div.,"22,254","1,927",671,272,718,826,108,"1,256",199,244,813
Attock,"6,857",693,315,91,224,241,17,378,34,73,271
Chakwal,"6,525",350,,75,244,257,13,350,34,58,258
Jhelum,"3,587",359,125,59,66,98,32,234,56,45,133
Rawalpindi,"5,285",525,231,47,184,230,46,294,75,68,151
Sahiwal Div.,"10,302","1,031",849,14,835,"1,446",611,182,65,7,110
Sahiwal,"3,201",320,262,4,258,433,175,58,15,4,39
Okara,"4,377",439,341,5,336,615,279,98,44,2,52
Pakpattan,"2,724",272,246,5,241,398,157,26,6,1,19
Sargodha Div.,"26,360","2,630","2,052",326,"1,726","2,342",616,578,90,91,397
Bhakkar,"8,153",813,716,25,691,853,162,97,13,36,48
Khushab,"6,511",654,468,128,340,432,92,186,27,41,118
Mianwali,"5,840",577,355,93,262,345,83,222,30,13,179
Sargodha,"5,856",586,513,80,433,712,279,73,20,1,52
Islamabad,906,93,48,34,14,26,12,45,2,11,32
2009-10,,,,,,,,,,,
PUNJAB,"206,251","17,680","12,597","1,707","10,890","17,120","6,230","5,083","1,568",490,"3,025"
Bahawalpur Div.,"45,588","2,155","1,668",139,"1,529","2,390",861,487,204,13,270
Bahawalnagar,"8,878",725,597,28,569,827,258,128,52,-,76
Bahawalpur,"24,830",613,434,34,400,704,304,179,60,5,114
Rahim Yar Khan,"11,880",817,637,77,560,859,299,180,92,8,80
D.G.Khan Div.,"38,778","3,158","1,737",427,"1,310","1,985",675,"1,421",652,74,695
D.G.Khan,"11,922",937,430,148,282,377,95,507,109,21,377
Layyah,"6,289",628,474,104,370,531,161,154,98,11,45
Muzaffargarh,"8,249",830,440,77,363,678,315,390,227,35,128
Rajanpur,"12,318",763,393,98,295,399,104,370,218,7,145
Faisalabad Div.,"17,918","1,789","1,477",49,"1,428","2,120",692,312,117,13,182
Faisalabad,"5,857",583,514,1,513,718,205,69,3,1,65
Chiniot,"2,643",263,219,3,216,299,83,44,11,1,32
Jhang,"6,166",616,481,37,444,689,245,135,76,5,54
T.T.Singh,"3,252",327,263,8,255,414,159,64,27,6,31
Gujranwala Div.,"17,207","1,727","1,420",118,"1,302","2,295",993,307,58,30,219
Gujranwala,"3,622",369,295,63,232,550,318,74,20,3,51
Gujrat,"3,192",322,254,2,252,287,35,68,10,12,46
Hafizabad,"2,367",235,197,33,164,354,190,38,18,-,20
Mandi Baha-ud-Din,"2,673",268,226,18,208,356,148,42,5,5,32
Narowal,"2,337",232,195,1,194,312,118,37,1,4,32
Sialkot,"3,016",301,253,1,252,436,184,48,4,6,38
Lahore Div.,"11,727","1,325","1,021",94,927,"1,592",665,304,107,11,186
Kasur,"3,995",468,356,9,347,549,202,112,26,6,80
Lahore,"1,772",177,113,25,88,173,85,64,5,1,58
Nankana Sahib,"2,216",237,193,21,172,335,163,44,25,-,19
Sheikhupura,"3,744",443,359,39,320,535,215,84,51,4,29
Multan Division,"15,211","1,524","1,316",75,"1,241","2,222",981,208,70,5,133
Khanewal,"4,349",424,367,6,361,599,238,57,26,-,31
Lodhran,"2,778",341,307,47,260,483,223,34,2,4,28
Multan,"3,720",322,249,12,237,498,261,73,38,1,34
Vehari,"4,364",437,393,10,383,642,259,44,4,-,40
Rawalpindi Div.,"22,254","2,247",995,394,601,693,92,"1,252",198,244,810
Attock,"6,857",693,319,124,195,218,23,374,34,73,267
Chakwal,"6,525",669,319,144,175,180,5,350,34,58,258
Jhelum,"3,587",360,125,62,63,93,30,235,53,45,137
Rawalpindi,"5,285",525,232,64,168,202,34,293,77,68,148
Sahiwal Div.,"10,302","1,032",849,13,836,"1,465",629,183,65,8,110
Sahiwal,"3,201",320,261,3,258,447,189,59,15,5,39
Okara,"4,377",439,341,5,336,617,281,98,44,2,52
Pakpattan,"2,724",273,247,5,242,401,159,26,6,1,19
Sargodha Div.,"26,360","2,630","2,066",364,"1,702","2,332",630,564,95,81,388
Bhakkar,"8,153",814,730,35,695,843,148,84,17,26,41
Khushab,"6,511",654,468,128,340,425,85,186,27,41,118
Mianwali,"5,840",578,356,109,247,352,105,222,31,12,179
Sargodha,"5,856",584,512,92,420,712,292,72,20,2,50
Islamabad,906,93,48,34,14,26,12,45,2,11,32
2010-11,,,,,,,,,,,
PUNJAB,"206,251","17,680","12,568","1,661","10,907","16,536","5,629","5,112","1,591",489,"3,032"
Bahawalpur Div.,"45,588","2,155","1,685",125,"1,560","2,296",738,470,186,13,271
Bahawalnagar,"8,878",724,611,13,598,813,273,113,34,-,79
Bahawalpur,"24,830",614,435,33,402,674,215,179,60,5,114
Rahim Yar Khan,"11,880",817,639,79,560,809,250,178,92,8,78
D.G.Khan Div.,"38,778","3,158","1,802",507,"1,295","1,682",387,"1,356",590,74,692
D.G.Khan,"11,922",937,430,150,280,329,49,507,109,21,377
Layyah,"6,289",629,475,104,371,488,117,154,98,11,45
Muzaffargarh,"8,249",830,440,77,363,558,195,390,227,35,128
Rajanpur,"12,318",762,457,176,281,307,26,305,156,7,142
Faisalabad Div.,"17,918","1,791","1,364",75,"1,289","2,056",767,427,234,13,180
Faisalabad,"5,857",584,470,-,470,695,225,114,46,1,67
Chiniot,"2,643",264,150,4,146,288,142,114,85,1,28
Jhang,"6,166",616,481,63,418,668,250,135,76,5,54
T.T.Singh,"3,252",327,263,8,255,405,150,64,27,6,31
Gujranwala Div.,"17,207","1,727","1,421",72,"1,349","2,278",929,306,58,29,219
Gujranwala,"3,622",369,315,26,289,545,256,54,20,3,31
Gujrat,"3,192",321,253,1,252,294,42,68,10,12,46
Hafizabad,"2,367",235,197,33,164,340,176,38,18,-,20
Mandi Baha-ud-Din,"2,673",269,226,9,217,364,147,43,5,5,33
Narowal,"2,337",232,177,2,175,306,131,55,1,3,51
Sialkot,"3,016",301,253,1,252,429,177,48,4,6,38
Lahore Div.,"11,727","1,325","1,021",94,927,"1,516",587,304,107,11,186
Kasur,"3,995",468,356,9,347,526,179,112,26,6,80
Lahore,"1,772",177,113,25,88,173,84,64,5,1,58
Nankana Sahib,"2,216",237,193,21,172,293,121,44,25,-,19
Sheikhupura,"3,744",443,359,39,320,524,203,84,51,4,29
Multan Division,"15,211","1,523","1,316",78,"1,238","2,138",900,207,58,5,144
Khanewal,"4,349",427,367,6,361,566,205,60,25,4,31
Lodhran,"2,778",280,249,12,237,449,212,31,2,1,28
Multan,"3,720",379,307,50,257,489,232,72,27,-,45
Vehari,"4,364",437,393,10,383,634,251,44,4,-,40
Rawalpindi Div.,"22,254","2,246",995,316,679,802,123,"1,251",198,244,809
Attock,"6,857",693,319,121,198,228,30,374,34,73,267
Chakwal,"6,525",668,318,76,242,248,6,350,34,58,258
Jhelum,"3,587",359,125,60,65,97,32,234,53,45,136
Rawalpindi,"5,285",526,233,59,174,229,55,293,77,68,148
Sahiwal Div.,"10,302","1,030",849,13,836,"1,456",620,181,64,7,110
Sahiwal,"3,201",319,261,3,258,435,177,58,15,4,39
Okara,"4,377",438,341,5,336,628,292,97,43,2,52
Pakpattan,"2,724",273,247,5,242,393,151,26,6,1,19
Sargodha Div.,"26,360","2,631","2,067",347,"1,720","2,286",566,564,94,81,389
Bhakkar,"8,153",813,730,35,695,828,133,83,17,25,41
Khushab,"6,511",654,468,123,345,433,88,186,27,41,118
Mianwali,"5,840",578,356,109,247,333,86,222,30,13,179
Sargodha,"5,856",586,513,80,433,692,259,73,20,2,51
Islamabad,906,94,48,34,14,26,12,46,2,12,32
2011-12,,,,,,,,,,,
PUNJAB,"206,251","17,680","12,617","1,697","10,920","16,522","5,602","5,063","1,681",490,"2,892"
Bahawalpur Div.,"45,588","2,155","1,688",127,"1,561","2,272",711,467,178,13,276
Bahawalnagar,"8,878",725,613,15,598,808,210,112,28,-,84
Bahawalpur,"24,830",613,436,33,403,670,267,177,58,5,114
Rahim Yar Khan,"11,880",817,639,79,560,794,234,178,92,8,78
D.G.Khan Div.,"38,778","3,157","1,836",549,"1,287","1,853",566,"1,321",673,74,574
D.G.Khan,"11,922",936,430,150,280,363,83,506,108,21,377
Layyah,"6,289",628,474,147,327,479,152,154,98,11,45
Muzaffargarh,"8,249",831,475,76,399,652,253,356,311,35,10
Rajanpur,"12,318",762,457,176,281,359,78,305,156,7,142
Faisalabad Div.,"17,918","1,790","1,366",75,"1,291","2,047",756,424,230,13,181
Faisalabad,"5,857",584,473,-,473,699,226,111,43,1,67
Chiniot,"2,643",263,150,4,146,274,128,113,84,1,28
Jhang,"6,166",616,481,63,418,672,254,135,76,5,54
T.T.Singh,"3,252",327,262,8,254,402,148,65,27,6,32
Gujranwala Div.,"17,207","1,726","1,420",68,"1,352","2,260",908,306,87,29,190
Gujranwala,"3,622",369,315,21,294,552,258,54,20,3,31
Gujrat,"3,192",321,254,2,252,293,41,67,37,12,18
Hafizabad,"2,367",235,197,33,164,338,174,38,18,-,20
Mandi Baha-ud-Din,"2,673",269,226,9,217,353,136,43,5,5,33
Narowal,"2,337",232,177,2,175,313,138,55,1,3,51
Sialkot,"3,016",300,251,1,250,411,161,49,6,6,37
Lahore Div.,"11,727","1,325","1,028",90,938,"1,543",605,297,107,11,179
Kasur,"3,995",468,356,9,347,520,173,112,26,6,80
Lahore,"1,772",178,121,22,99,192,93,57,5,1,51
Nankana Sahib,"2,216",236,192,20,172,295,123,44,25,-,19
Sheikhupura,"3,744",443,359,39,320,536,216,84,51,4,29
Multan Division,"15,211","1,523","1,316",79,"1,237","2,084",847,207,58,5,144
Khanewal,"4,349",428,367,7,360,565,205,61,26,4,31
Lodhran,"2,778",280,249,12,237,430,193,31,2,1,28
Multan,"3,720",378,307,50,257,462,205,71,26,-,45
Vehari,"4,364",437,393,10,383,627,244,44,4,-,40
Rawalpindi Div.,"22,254","2,247",996,315,681,814,133,"1,251",197,244,810
Attock,"6,857",693,319,119,200,231,31,374,34,73,267
Chakwal,"6,525",668,319,77,242,253,11,349,33,58,258
Jhelum,"3,587",360,125,60,65,101,36,235,53,45,137
Rawalpindi,"5,285",526,233,59,174,229,55,293,77,68,148
Sahiwal Div.,"10,302","1,033",850,13,837,"1,422",585,183,65,8,110
Sahiwal,"3,201",320,261,3,258,426,168,59,15,5,39
Okara,"4,377",440,342,5,337,612,275,98,44,2,52
Pakpattan,"2,724",273,247,5,242,384,142,26,6,1,19
Sargodha Div.,"26,360","2,630","2,068",347,"1,721","2,201",480,562,84,82,396
Bhakkar,"8,153",814,730,35,695,806,111,84,10,26,48
Khushab,"6,511",653,468,123,345,415,70,185,26,41,118
Mianwali,"5,840",578,356,109,247,339,92,222,30,13,179
Sargodha,"5,856",585,514,80,434,641,207,71,18,2,51
Islamabad,906,94,49,34,15,26,11,45,2,11,32
2012-13,,,,,,,,,,,
PUNJAB,"206,251","17,680","12,738","1,677","11,061","16,472","5,411","4,942","1,536",493,"2,913"
Bahawalpur Div.,"45,588","2,155","1,687",128,"1,559","2,146",587,468,189,15,264
Bahawalnagar,"8,878",725,614,14,600,792,192,111,40,-,71
Bahawalpur,"24,830",613,438,48,390,646,256,175,54,6,115
Rahim Yar Khan,"11,880",817,635,66,569,708,139,182,95,9,78
D.G.Khan Div.,"38,778","3,158","1,855",465,"1,390","1,937",547,"1,303",549,77,677
D.G.Khan,"11,922",937,454,137,317,353,36,483,63,25,395
Layyah,"6,289",629,474,104,370,494,124,155,99,11,45
Muzaffargarh,"8,249",830,466,78,388,687,299,364,230,34,100
Rajanpur,"12,318",762,461,146,315,403,88,301,157,7,137
Faisalabad Div.,"17,918","1,791","1,430",90,"1,340","2,024",684,361,175,13,173
Faisalabad,"5,857",584,474,1,473,681,208,110,50,1,59
Chiniot,"2,643",264,212,15,197,259,62,52,22,2,28
Jhang,"6,166",616,481,66,415,658,243,135,77,5,53
T.T.Singh,"3,252",327,263,8,255,426,171,64,26,5,33
Gujranwala Div.,"17,207","1,727","1,420",192,"1,228","2,280","1,052",307,99,27,181
Gujranwala,"3,622",369,315,29,286,553,267,54,20,1,33
Gujrat,"3,192",321,255,111,144,299,155,66,23,12,31
Hafizabad,"2,367",235,198,32,166,350,184,37,18,-,19
Mandi Baha-ud-Din,"2,673",269,222,19,203,347,144,47,12,5,30
Narowal,"2,337",232,178,1,177,313,136,54,3,3,48
Sialkot,"3,016",301,252,-,252,418,166,49,23,6,20
Lahore Division,"11,727","1,325","1,023",96,927,"1,553",626,302,121,12,169
Kasur,"3,995",468,358,17,341,567,226,110,25,6,79
Lahore,"1,772",177,109,21,88,139,51,68,21,2,45
Nankana Sahib,"2,216",237,198,20,178,303,125,39,23,-,16
Sheikhupura,"3,744",443,358,38,320,544,224,85,52,4,29
Multan Division,"15,211","1,523","1,297",94,"1,203","2,063",860,226,70,5,151
Khanewal,"4,349",427,352,17,335,532,197,75,32,4,39
Lodhran,"2,778",280,243,16,227,449,222,37,8,1,28
Multan,"3,720",379,308,51,257,452,195,71,26,-,45
Vehari,"4,364",437,394,10,384,630,246,43,4,-,39
Rawalpindi Div.,"22,254","2,246","1,035",233,802,854,52,"1,211",158,244,809
Attock,"6,857",693,318,84,234,237,3,375,34,73,268
Chakwal,"6,525",668,318,48,270,280,10,350,34,59,257
Jhelum,"3,587",359,126,38,88,107,19,233,56,44,133
Rawalpindi,"5,285",526,273,63,210,230,20,253,34,68,151
Sahiwal Div.,"10,302","1,030",848,14,834,"1,420",586,182,65,7,110
Sahiwal,"3,201",319,261,4,257,422,165,58,15,4,39
Okara,"4,377",438,339,6,333,614,281,99,45,2,52
Pakpattan,"2,724",273,248,4,244,384,140,25,5,1,19
Sargodha Div.,"26,360","2,631","2,094",339,"1,755","2,168",413,537,108,82,347
Bhakkar,"8,153",813,735,158,577,820,243,78,19,26,33
Khushab,"6,511",654,468,30,438,458,20,186,55,41,90
Mianwali,"5,840",578,377,70,307,351,44,201,16,13,172
Sargodha,"5,856",586,514,81,433,539,106,72,18,2,52
Islamabad,906,94,49,26,23,25,2,45,2,11,32
2013-14,,,,,,,,,,,
PUNJAB,"206,251","17,680","12,667","1,859","10,808","16,678","5,870","5,013","1,669",489,"2,855"
Bahawalpur Div.,"45,588","2,155","1,712",149,"1,563","2,227",664,443,161,14,268
Bahawalnagar,"8,878",725,617,11,606,817,211,108,30,1,77
Bahawalpur,"24,830",613,447,50,397,679,282,166,53,5,108
Rahim Yar Khan,"11,880",817,648,88,560,731,171,169,78,8,83
D.G.Khan Div.,"38,778","3,158","1,815",454,"1,361","1,949",588,"1,343",585,77,681
D.G.Khan,"11,922",936,454,122,332,377,45,482,63,24,395
Layyah,"6,289",628,474,105,369,503,134,154,98,11,45
Muzaffargarh,"8,249",831,427,77,350,672,322,404,267,35,102
Rajanpur,"12,318",763,460,150,310,397,87,303,157,7,139
Faisalabad Div.,"17,918","1,791","1,426",138,"1,288","2,158",870,365,176,13,176
Faisalabad,"5,857",584,473,1,472,685,213,111,51,1,59
Chiniot,"2,643",263,199,49,150,296,146,64,31,1,32
Jhang,"6,166",617,484,67,417,678,261,133,71,5,57
T.T.Singh,"3,252",327,270,21,249,499,250,57,23,6,28
Gujranwala Div.,"17,207","1,727","1,411",160,"1,251","2,244",993,316,105,27,184
Gujranwala,"3,622",369,314,41,273,549,276,55,22,1,32
Gujrat,"3,192",320,247,66,181,299,118,73,27,12,34
Hafizabad,"2,367",235,197,32,165,347,182,38,18,-,20
Mandi Baha-ud-Din,"2,673",269,223,20,203,338,135,46,11,5,30
Narowal,"2,337",233,178,1,177,299,122,55,4,3,48
Sialkot,"3,016",301,252,-,252,412,160,49,23,6,20
Lahore Div.,"11,727","1,326",969,111,858,"1,488",630,357,169,11,177
Kasur,"3,995",468,315,35,280,510,230,153,57,6,90
Lahore,"1,772",179,106,24,82,169,87,73,31,1,41
Nankana Sahib,"2,216",236,192,22,170,306,136,44,25,-,19
Sheikhupura,"3,744",443,356,30,326,503,177,87,56,4,27
Multan Division,"15,211","1,523","1,302",82,"1,220","2,074",854,221,71,5,145
Khanewal,"4,349",428,352,8,344,546,202,76,33,4,39
Lodhran,"2,778",280,243,13,230,444,214,37,8,1,28
Multan,"3,720",377,308,51,257,438,181,69,26,-,43
Vehari,"4,364",438,399,10,389,646,257,39,4,-,35
Rawalpindi Div.,"22,254","2,246",994,213,781,868,87,"1,252",201,244,807
Attock,"6,857",693,319,86,233,242,9,374,35,73,266
Chakwal,"6,525",669,319,47,272,278,6,350,34,58,258
Jhelum,"3,587",359,125,19,106,112,6,234,57,45,132
Rawalpindi,"5,285",525,231,61,170,236,66,294,75,68,151
Sahiwal Div.,"10,302","1,030",850,154,696,"1,459",763,180,60,7,113
Sahiwal,"3,201",319,261,3,258,433,175,58,15,4,39
Okara,"4,377",439,342,18,324,626,302,97,40,2,55
Pakpattan,"2,724",272,247,133,114,400,286,25,5,1,19
Sargodha Div.,"26,360","2,630","2,140",378,"1,762","2,183",421,490,139,79,272
Bhakkar,"8,153",813,741,81,660,785,125,72,14,26,32
Khushab,"6,511",654,468,95,373,428,55,186,108,41,37
Mianwali,"5,840",577,428,120,308,358,50,149,3,10,136
Sargodha,"5,856",586,503,82,421,612,191,83,14,2,67
Islamabad,906,94,48,20,28,28,-,46,2,12,32
2014-15,,,,,,,,,,,
PUNJAB,"206,251","17,512","12,537","1,754","10,783","16,623","5,840","4,975","1,531",483,"2,961"
Bahawalpur Div.,"45,588","2,144","1,704",201,"1,503","2,298",795,440,155,9,276
Bahawalnagar,"8,878",742,617,14,603,829,226,125,45,-,80
Bahawalpur,"24,830",609,446,106,340,693,353,163,37,3,123
Rahim Yar Khan,"11,880",793,641,81,560,776,216,152,73,6,73
D.G.Khan Div.,"38,778","3,156","1,847",454,"1,393","2,029",636,"1,309",575,77,657
D.G.Khan,"11,922",935,454,118,336,418,82,481,62,24,395
Layyah,"6,289",630,482,104,378,535,157,148,91,12,45
Muzaffargarh,"8,249",829,439,83,356,665,309,390,278,34,78
Rajanpur,"12,318",762,472,149,323,411,88,290,144,7,139
Faisalabad Div.,"17,918","1,791","1,426",145,"1,281","2,017",736,365,175,13,177
Faisalabad,"5,857",584,474,1,473,685,212,110,50,1,59
Chiniot,"2,643",264,198,47,151,297,146,66,31,1,34
Jhang,"6,166",616,484,68,416,634,218,132,71,5,56
T.T.Singh,"3,252",327,270,29,241,401,160,57,23,6,28
Gujranwala Div.,"17,207","1,732","1,383",221,"1,162","2,184","1,022",349,108,27,214
Gujranwala,"3,622",367,294,30,264,533,269,73,20,1,52
Gujrat,"3,192",321,249,66,183,311,128,72,27,12,33
Hafizabad,"2,367",235,189,37,152,338,186,46,26,-,20
Mandi Baha-ud-Din,"2,673",269,222,25,197,306,109,47,11,5,31
Narowal,"2,337",235,177,1,176,289,113,58,1,3,54
Sialkot,"3,016",305,252,62,190,407,217,53,23,6,24
Lahore Div.,"11,727","1,163",911,74,837,"1,478",641,252,71,10,171
Kasur,"3,995",394,317,33,284,501,217,77,5,6,66
Lahore,"1,772",178,94,13,81,167,86,84,28,-,56
Nankana Sahib,"2,216",223,184,22,162,305,143,39,20,-,19
Sheikhupura,"3,744",368,316,6,310,505,195,52,18,4,30
Multan Division,"15,211","1,523","1,304",104,"1,200","2,070",870,219,66,4,149
Khanewal,"4,349",428,358,31,327,521,194,70,28,4,38
Lodhran,"2,778",279,244,12,232,455,223,35,8,-,27
Multan,"3,720",378,307,51,256,433,177,71,26,-,45
Vehari,"4,364",438,395,10,385,661,276,43,4,-,39
Rawalpindi Div.,"22,254","2,243",991,236,755,839,84,"1,252",199,242,811
Attock,"6,857",692,320,85,235,242,7,372,34,73,265
Chakwal,"6,525",669,319,72,247,260,13,350,34,58,258
Jhelum,"3,587",358,126,23,103,110,7,232,56,43,133
Rawalpindi,"5,285",524,226,56,170,227,57,298,75,68,155
Sahiwal Div.,"10,302","1,033",851,24,827,"1,454",627,182,59,8,115
Sahiwal,"3,201",320,261,3,258,433,175,59,15,5,39
Okara,"4,377",440,342,18,324,607,283,98,40,2,56
Pakpattan,"2,724",273,248,3,245,414,169,25,4,1,20
Sargodha Div.,"26,360","2,633","2,072",271,"1,801","2,230",429,561,121,82,358
Bhakkar,"8,153",813,741,62,679,836,157,72,14,26,32
Khushab,"6,511",654,480,33,447,479,32,174,32,41,101
Mianwali,"5,840",577,383,63,320,360,40,194,10,13,171
Sargodha,"5,856",589,468,113,355,555,200,121,65,2,54
Islamabad,906,94,48,24,24,24,-,46,2,11,33
2015-16,,,,,,,,,,,
PUNJAB,"206,251","17,512","12,561","1,806","10,755","16,572","5,817","4,951","1,534",482,"2,935"
Bahawalpur Div.,"45,588","2,140","1,711",219,"1,492","2,281",789,429,187,11,231
Bahawalnagar,"8,878",742,620,24,596,809,213,122,48,1,73
Bahawalpur,"24,830",608,446,111,335,699,364,162,82,4,76
Rahim Yar Khan,"11,880",790,645,84,561,,212,145,57,6,82
D.G.Khan Div.,"38,778","3,156","1,867",446,"1,421","2,068",647,"1,289",564,78,647
D.G.Khan,"11,922",935,454,123,331,431,100,481,62,24,395
Layyah,"6,289",628,491,107,384,548,164,137,88,12,37
Muzaffargarh,"8,249",831,440,87,353,658,305,391,278,35,78
Rajanpur,"12,318",762,482,129,353,,78,280,136,7,137
Faisalabad Div.,"17,918","1,788","1,392",134,"1,258","1,990",732,396,205,13,178
Faisalabad,"5,857",582,481,2,479,673,194,101,50,1,50
Chiniot,"2,643",263,158,47,111,287,176,105,61,1,43
Jhang,"6,166",616,484,56,428,632,204,132,71,5,56
T.T.Singh,"3,252",327,269,29,240,"3,864",158,58,23,6,29
Gujranwala Div.,"17,207","1,731","1,378",222,"1,156","2,127",971,353,109,27,217
Gujranwala,"3,622",366,291,31,260,505,245,75,19,1,55
Gujrat,"3,192",321,248,66,182,293,111,73,28,12,33
Hafizabad,"2,367",235,189,37,152,347,195,46,26,-,20
